city,date,hour,temperature_c,pressure_mm,is_rain
Санкт-Петербург,2024-03-05,15,0,772,0
Санкт-Петербург,2024-03-05,16,0,771,0
Санкт-Петербург,2024-03-05,17,-1,772,0
Санкт-Петербург,2024-03-05,18,-1,772,0
Санкт-Петербург,2024-03-05,19,-2,772,0
Санкт-Петербург,2024-03-05,20,-2,772,0
Санкт-Петербург,2024-03-05,21,-3,770,0
Тула,2024-03-02,0,-3,754,0
Тула,2024-03-02,1,-3,753,0
Тула,2024-03-02,2,-3,753,0
Тула,2024-03-02,3,-6,755,0
Тула,2024-03-02,4,-4,754,0
Тула,2024-03-02,5,-5,754,0
Тула,2024-03-02,6,-5,755,0
Тула,2024-03-02,7,-6,754,0
Тула,2024-03-02,8,-6,754,0
Тула,2024-03-02,9,-8,754,0
Тула,2024-03-02,10,-5,754,0
Тула,2024-03-02,11,-4,754,0
Тула,2024-03-02,12,0,755,0
Тула,2024-03-02,13,-1,754,0
Тула,2024-03-02,14,0,754,0
Тула,2024-03-02,15,2,754,0
Тула,2024-03-02,16,1,754,0
Тула,2024-03-02,17,0,754,0
Тула,2024-03-02,18,1,754,0
Тула,2024-03-02,19,-2,753,0
Тула,2024-03-02,20,-2,753,0
Тула,2024-03-02,21,-3,754,0
Тула,2024-03-02,22,-3,753,0
Тула,2024-03-02,23,-4,753,0
Тула,2024-03-03,0,-4,754,0
Тула,2024-03-03,1,-4,754,0
Тула,2024-03-03,2,-5,754,0
Тула,2024-03-03,3,-5,755,0
Тула,2024-03-03,4,-6,754,0
Тула,2024-03-03,5,-6,754,0
Тула,2024-03-03,6,-7,755,0
Тула,2024-03-03,7,-7,754,0
Тула,2024-03-03,8,-6,754,0
Тула,2024-03-03,9,-4,755,0
Тула,2024-03-03,10,-2,754,0
Тула,2024-03-03,11,-1,754,0
Тула,2024-03-03,12,1,755,0
Тула,2024-03-03,13,2,754,0
Тула,2024-03-03,14,3,754,0
Тула,2024-03-03,15,3,755,0
Тула,2024-03-03,16,3,754,0
Тула,2024-03-03,17,3,754,0
Тула,2024-03-03,18,1,755,0
Тула,2024-03-03,19,0,753,0
Тула,2024-03-03,20,-1,754,0
Тула,2024-03-03,21,-2,754,0
Тула,2024-03-03,22,-3,753,0
Тула,2024-03-03,23,-3,753,0
Тула,2024-03-04,0,-3,754,0
Тула,2024-03-04,1,-4,753,0
Тула,2024-03-04,2,-4,753,0
Тула,2024-03-04,3,-5,754,0
Тула,2024-03-04,4,-5,752,0
Тула,2024-03-04,5,-6,752,0
Тула,2024-03-04,6,-7,753,0
Тула,2024-03-04,7,-7,751,0
Тула,2024-03-04,8,-6,752,0
Тула,2024-03-04,9,-5,753,0
Тула,2024-03-04,10,-4,752,0
Тула,2024-03-04,11,-3,751,0
Тула,2024-03-04,12,-1,752,0
Тула,2024-03-04,13,0,751,0
Тула,2024-03-04,14,0,751,0
Тула,2024-03-04,15,1,751,0
Тула,2024-03-04,16,1,750,0
Тула,2024-03-04,17,0,749,0
Тула,2024-03-04,18,-1,750,0
Тула,2024-03-04,19,-2,749,0
Тула,2024-03-04,20,-2,749,0
Тула,2024-03-04,21,-3,749,0
Тула,2024-03-04,22,-3,748,0
Тула,2024-03-04,23,-3,748,0
Тула,2024-03-05,0,-4,748,0
Тула,2024-03-05,1,-4,747,0
Тула,2024-03-05,2,-5,747,0
Тула,2024-03-05,3,-4,747,0
Тула,2024-03-05,4,-4,746,0
Тула,2024-03-05,5,-4,746,0
Тула,2024-03-05,6,-4,747,0
Тула,2024-03-05,7,-4,746,0
Тула,2024-03-05,8,-4,746,0
Тула,2024-03-05,9,-3,747,0
Тула,2024-03-05,10,-2,746,0
Тула,2024-03-05,11,-1,746,0
Тула,2024-03-05,12,0,747,0
Тула,2024-03-05,13,0,746,0
Тула,2024-03-05,14,0,746,0
Тула,2024-03-05,15,1,746,0
Тула,2024-03-05,16,1,746,0
Тула,2024-03-05,17,1,746,0
Тула,2024-03-05,18,0,747,0
Тула,2024-03-05,19,-1,746,0
Тула,2024-03-05,20,-1,746,0
Тула,2024-03-05,21,-1,747,0
Новосибирск,2024-03-02,0,-5,750,0
Новосибирск,2024-03-02,1,-5,752,0
Новосибирск,2024-03-02,2,-5,750,0
Новосибирск,2024-03-02,3,-5,750,0
Новосибирск,2024-03-02,4,-6,752,0
Новосибирск,2024-03-02,5,-6,750,0
Новосибирск,2024-03-02,6,-6,750,0
Новосибирск,2024-03-02,7,-4,752,0
Новосибирск,2024-03-02,8,-6,751,0
Новосибирск,2024-03-02,9,-6,751,0
Новосибирск,2024-03-02,10,-5,753,0
Новосибирск,2024-03-02,11,-5,752,0
Новосибирск,2024-03-02,12,-4,752,0
Новосибирск,2024-03-02,13,-3,754,0
Новосибирск,2024-03-02,14,-4,753,0
Новосибирск,2024-03-02,15,-4,753,0
Новосибирск,2024-03-02,16,-3,754,0
Новосибирск,2024-03-02,17,-4,753,0
Новосибирск,2024-03-02,18,-4,753,0
Новосибирск,2024-03-02,19,-5,754,0
Новосибирск,2024-03-02,20,-6,753,0
Новосибирск,2024-03-02,21,-7,753,0
Новосибирск,2024-03-02,22,-7,755,0
Новосибирск,2024-03-02,23,-9,753,0
Новосибирск,2024-03-03,0,-9,753,0
Новосибирск,2024-03-03,1,-10,755,0
Новосибирск,2024-03-03,2,-11,753,0
